counts,shots,job_id
"{'0': 514, '1': 510}",1024,159
"{'1': 514, '0': 510}",1024,160
"{'1': 500, '0': 524}",1024,161
"{'1': 519, '0': 505}",1024,162
"{'1': 496, '0': 528}",1024,163
"{'1': 503, '0': 521}",1024,164
"{'0': 513, '1': 511}",1024,165
"{'1': 519, '0': 505}",1024,166
"{'0': 505, '1': 519}",1024,167
"{'1': 515, '0': 509}",1024,168
"{'0': 528, '1': 496}",1024,169
"{'0': 523, '1': 501}",1024,170
"{'0': 510, '1': 514}",1024,171
"{'0': 530, '1': 494}",1024,172
"{'1': 505, '0': 519}",1024,173
"{'0': 519, '1': 505}",1024,174
"{'0': 507, '1': 517}",1024,175
"{'0': 519, '1': 505}",1024,176
"{'0': 512, '1': 512}",1024,177
"{'0': 513, '1': 511}",1024,178
"{'1': 485, '0': 539}",1024,179
"{'1': 522, '0': 502}",1024,180
"{'1': 505, '0': 519}",1024,181
"{'1': 511, '0': 513}",1024,182
"{'1': 522, '0': 502}",1024,183
"{'0': 514, '1': 510}",1024,184
"{'0': 534, '1': 490}",1024,185
"{'1': 522, '0': 502}",1024,186
"{'0': 500, '1': 524}",1024,187
"{'1': 500, '0': 524}",1024,188
"{'1': 507, '0': 517}",1024,189
"{'1': 502, '0': 522}",1024,190
"{'1': 524, '0': 500}",1024,191
"{'0': 530, '1': 494}",1024,192
"{'1': 528, '0': 496}",1024,193
"{'0': 528, '1': 496}",1024,194
"{'1': 527, '0': 497}",1024,195
"{'0': 491, '1': 533}",1024,196
"{'0': 519, '1': 505}",1024,197
"{'0': 530, '1': 494}",1024,198
"{'0': 497, '1': 527}",1024,199
"{'1': 519, '0': 505}",1024,200
"{'1': 547, '0': 477}",1024,201
"{'0': 494, '1': 530}",1024,202
"{'1': 512, '0': 512}",1024,203
"{'1': 508, '0': 516}",1024,204
"{'0': 521, '1': 503}",1024,205
"{'0': 517, '1': 507}",1024,206
"{'0': 516, '1': 508}",1024,207
"{'1': 486, '0': 538}",1024,208
"{'0': 530, '1': 494}",1024,209
"{'0': 525, '1': 499}",1024,210
"{'1': 523, '0': 501}",1024,211
"{'1': 514, '0': 510}",1024,212
"{'0': 506, '1': 518}",1024,213
"{'0': 529, '1': 495}",1024,214
"{'0': 508, '1': 516}",1024,215
"{'1': 521, '0': 503}",1024,216
"{'0': 505, '1': 519}",1024,217
"{'1': 495, '0': 529}",1024,218
"{'1': 511, '0': 513}",1024,219
"{'0': 525, '1': 499}",1024,220
"{'1': 508, '0': 516}",1024,221
"{'1': 524, '0': 500}",1024,222
"{'0': 488, '1': 536}",1024,223
"{'0': 504, '1': 520}",1024,224
"{'0': 506, '1': 518}",1024,225
"{'1': 501, '0': 523}",1024,226
"{'1': 531, '0': 493}",1024,227
"{'1': 528, '0': 496}",1024,228
"{'0': 493, '1': 531}",1024,229
"{'0': 482, '1': 542}",1024,230
"{'0': 530, '1': 494}",1024,231
"{'0': 504, '1': 520}",1024,232
"{'1': 517, '0': 507}",1024,233
"{'1': 521, '0': 503}",1024,234
"{'1': 526, '0': 498}",1024,235
"{'1': 495, '0': 529}",1024,236
"{'1': 516, '0': 508}",1024,237
"{'1': 506, '0': 518}",1024,238
"{'0': 499, '1': 525}",1024,239
"{'1': 511, '0': 513}",1024,240
"{'1': 490, '0': 534}",1024,241
"{'1': 501, '0': 523}",1024,242
"{'0': 535, '1': 489}",1024,243
"{'0': 524, '1': 500}",1024,244
"{'0': 532, '1': 492}",1024,245
"{'0': 516, '1': 508}",1024,246
"{'0': 526, '1': 498}",1024,247
"{'1': 508, '0': 516}",1024,248
"{'1': 527, '0': 497}",1024,249
"{'0': 535, '1': 489}",1024,250
"{'1': 510, '0': 514}",1024,251
"{'1': 503, '0': 521}",1024,252
"{'0': 543, '1': 481}",1024,253
"{'1': 515, '0': 509}",1024,254
"{'1': 498, '0': 526}",1024,255
"{'1': 530, '0': 494}",1024,256
"{'0': 524, '1': 500}",1024,257
"{'1': 498, '0': 526}",1024,258
"{'0': 514, '1': 510}",1024,259
"{'0': 521, '1': 503}",1024,260
"{'0': 499, '1': 525}",1024,261
"{'1': 501, '0': 523}",1024,262
